keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0681,placeholder.jpg,Liba's letters,"Walfish, Miriam",2012,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,168 pages,23 cm,Jewish girls around the world,2,Liba Miller series,,,,,,,Jewish girls;South Africa;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0682,placeholder.jpg,Strangers in Yerushalayim,"Spektor, Zev",2013,Judaica Press,"Brooklyn, NY",,,,,,,288 pages,24 cm,Adventures of a lifetime series,3,,,,,,,,Gangs;Children;Societies and clubs;Jerusalem (Israel);Middle East;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0683,placeholder.jpg,Liba and the feather thief,"Walfish, Miriam",2013,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,175 pages,23 cm,Jewish girls around the world,3,Liba Miller series,,,,,,,Jewish girls;South Africa;Theft;Jewish way of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0684,placeholder.jpg,Mindel's treasure,"Walfish, Miriam;Indig, Nina",2013,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,158 pages,22 cm,Jewish girls around the world,2,Mindel Rappaport,,"Includes ""Mindel Rappaport limited edition collectors card"", in pocket before title page.",,,,"""Meet Mindel Rappaport, a Jewish girl growing up in the city of Prague in the 1590's""--Back cover.",Jewish girls;Czech Republic;Prague (Czech Republic);History;16th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0685,placeholder.jpg,I can be a gibor,"Blau, Sara;Wolf, Malka",2013,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,23 pages,29 cm,I can be,,Middos train,,,,,,,Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk0686,placeholder.jpg,"Really, truly Esther","Walfish, Miriam;Lewczuk, Lidia E;Blau, Sara;Wolf, Malka",2014,Judaica Press,"Brooklyn, NY;Brooklyn, NY",,,,,,color illustrations,166 pages;23 pages,23 cm,Jewish girls around the world,1,Esther Bueno series,,,,,,,Jewish girls;Netherlands;Amsterdam (Netherlands);History;17th century;Twins;Jewish ethics;Fiction;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0687,placeholder.jpg,,,2014,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,item
hk0688,placeholder.jpg,Moishy turn 3 : an upsherin book,"Blau, Sara;Lewczuk, Lidia E",2014,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,16 pages,,,,,,On board pages.,,,,,Upsheren;Haircutting;Judaism,Image;StillImage,image/jpeg,eng,item
hk0689,placeholder.jpg,I can be a mevater,"Blau, Sara;Wolf, Malka",2015,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,23 pages,,I can be,3,Middos train,,,,,,,Jewish ethics;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0690,placeholder.jpg,I can make a kidush ha-Shem,"Blau, Sara;Wolf, Malka",2015,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,23 pages,,I can be,4,Middos train,,,,,,,Jewish ethics;Interpersonal relations;Judaism;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0691,placeholder.jpg,Esther and the chocolate tree,"Walfish, Miriam;Lewczuk, Lidia E",2015,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,139 pages,23 cm,Jewish girls around the world,2,Esther Bueno series,,,,,,,Jewish girls;Netherlands;Amsterdam (Netherlands);History;17th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0692,placeholder.jpg,Esther's best surprise ever,"Walfish, Miriam;Lewczuk, Lidia E",2015,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,139 pages,23 cm,Jewish girls around the world,3,Esther Bueno series,,,,,,,Jewish girls;Netherlands;Amsterdam (Netherlands);History;17th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0693,placeholder.jpg,My sister has a scooter,"Shulman, Naomi",2016,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,22 pages,,,,,,,,,,,Scooters;Orthodox Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0694,placeholder.jpg,Kidz like U : 17 super stories about kids just like you!,"Schonzeit, Miriam",2016,Judaica Press,"Brooklyn, NY",,,,,,,256 pages,24 cm,Kidz like U,1,,,,,,,,Jewish youth;Conduct of life;Jewish teenagers;Orthodox Judaism;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk0695,placeholder.jpg,The royal rescue,"Kunda, Shmuel;Judowitz, Yoel Hillel",2016,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,32 pages,31 cm,,,,,,,,,"Doniel gets lost in the forrest and winds up rescuing Edward, prince of Alsaice, from kidnappers. Years later Prince Edward saves the community from crusaders.",Princes;Kidnapping;Crusades;France;Jewish religious fiction;Action and adventure;Fiction;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0696,placeholder.jpg,I can be be-simhah,"Blau, Sara;Wolf, Malka",2018,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,24 pages,29 cm,I can be,5,Middos train,,,,,,"""Do you know how to be happy? It's not always easy to be b'simchah -- to be happy no matter what happens. Sometimes you don't get the things you want, or get to do what you want. But you can learn to be happy even at those times. Look inside and discover some of the many ways that YOU can be b'simchah every day!""--back cover.",Jewish ethics;Commandments (Judaism);Conduct of life;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0697,placeholder.jpg,Lost & found : a hashavas aveidah story,"Gitlin, Miriam;Held, Maryann",2018,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,24 pages,29 cm,,,,,,,,,"""Sometimes it's hard to do the right thing ... When Racheli finds a beautiful bracelet lying on the ground near her school, she really wants to keep it for herself. But when she hears the story of what Rabi Chanina ben Dosa and his wife did when they found someone's lost chickens, she starts thinking a bit differently ...""--back cover.",Lost and found possessions;Jewish girls;Jewish religious education;Jewish ethics;Orthodox Judaism;Commandments (Judaism);Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0698,placeholder.jpg,I can be makir t­ov,"Blau, Sara;Wolf, Malka",2019,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,24 pages,29 cm,I can be,6,Middos train,,,,,,,Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk0699,placeholder.jpg,Mommy & me : for boys,"Shulman, Naomi;Nadell, Yocheved",2019,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,14 pages,23 cm,Books about me (Boys),,,,On board pages.,,,,,Mother and child;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0700,placeholder.jpg,Mommy & me : for girls,"Shulman, Naomi;Nadell, Yocheved",2019,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,14 pages,23 cm,Books about me (Girls),,,,On board pages.,,,,,Mother and child;Jewish way of life;Jewish girls;Fiction,Image;StillImage,image/jpeg,eng,item
hk0701,placeholder.jpg,I can be dan le-khaf zekhut,"Blau, Sara;Wolf, Malka",2021,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,24 pages,29 cm,I can be,7,Middos train,,,,,,,Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk0702,placeholder.jpg,The Devora Doresh mysteries,"Hubner, Carol Korb",2006,Judaica Press,"Brooklyn, NY",,,,,,illustrations,284 pages,22 cm,Devora Doresh,1,,,,,,The whispering mezuzah -- The gold bug -- The disappearance of Tom Screvane -- The missing papers -- The case of the four diamonds -- Mystery of the secret code -- The dangerous doctor -- A Purim mystery -- The Shabbos guest -- The case of pedigree penina -- The haunted shul -- The silent shofar.,Devora Doresh uses the wisdom she has gained from studying Jewish teachings to solve a case involving a burglar and other mysteries.,United States;Fiction,Image;StillImage,image/jpeg,eng,item
hk0703,placeholder.jpg,The four seasons of Golda Mirel : a novel,"Vogiel, Eva",2006,Judaica Press,"Brooklyn, NY",,,,,,illustrations,368 pages,24 cm,,,,,,,,,,Jewish women;Women with disabilities;Poland;Austria;Vienna (Austria);England;Jewish religious fiction;Domestic fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk0704,placeholder.jpg,Fantastic foto hunt Pesach : ... ten things are different ...,,2008,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,36 pages,26 cm,,,,,,,,,The Foto Hunt begins ... Will you answer the call? Ten things are different ... Can you find them all?,Orthodox Jews;Passover,Image;StillImage,image/jpeg,eng,item
hk0705,placeholder.jpg,The invisible twins : a novel,"Shkedi, Tova",2014,Judaica Press,"Brooklyn, NY",,,,,,,272 pages,23 cm,Twins discovery series,2,,,,,,,,Twins;Science fairs;Invisibility;Fiction;Science fiction,Image;StillImage,image/jpeg,eng,item
hk0706,placeholder.jpg,Where are my shoes?,"Burstyn, Rochel",2014,Judaica Press,"Brooklyn, NY",,,,,,illustrations,24 pages,,,,,,,,,,,Orthodox Jews;Orderliness;Judaism;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0707,placeholder.jpg,Miracle at El Alamein : the story of the rabbis who stopped the Nazi onslaught at the gates of Eretz Yisrael,"Paretzky, Zev T",2014,Judaica Press,"Brooklyn, NY",,,,,,illustrations;maps;portraits,192 pages,23 cm,,,,,,,Includes bibliographical references (pages 186-190).,,"""In 1942, as General Rommel led the German and Italian armies through North Africa toward Eretz Yisrael, terror gripped the Holy Land. It seemed inevitable that the entire Jewish population would fall into the Germans' murderous hands. This is the story of the holy tzaddikim of Eretz Yisrael who stormed the heavens with their prayers and brought Rommel's progress to a stunning halt at El Alamein in Egypt. The events that took place there were nothing short of miraculous""--Back cover.","World War II, 1939-1945;Campaigns;North Africa;Rabbis;Palestine;Military campaigns;Military readiness;Holocaust, Jewish (1939-1945);Rescue;Eretz Yisrael;Israel;Miracles (Judaism);Defenses;Middle East;Rommel, Erwin, 1891-1944",Image;StillImage,image/jpeg,eng,item
hk0708,placeholder.jpg,Pass the pickles,"Finkelstein, Chaim",2015,Judaica Press,"Brooklyn, NY",,,,,,illustrations,230 pages,22 cm,Burksfield Bike Club,5,,,,,,,,Pickles;Bicycles;Cycling;Jewish ethics;Children;Societies and clubs;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0709,placeholder.jpg,Match 'em up : get ready for Shabbos,"Czitter, Raizy",2019,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,10 pages,,,,,,,,,,,Matching games;Sabbath,Image;StillImage,image/jpeg,eng,item
hk0710,placeholder.jpg,To catch a thief,"Lazewnik, Libby",2019,Judaica Press,"Brooklyn, NY",,,,,,,224 pages,22 cm,,,,,,,,,"""Mendy is an only child who lives alone with his father. Ever since his mother passed away six years earlier, Mendy's father is the most important person in his entire world. Shortly after a ruthless criminal threatens an old friend of Mendy's father, his father suddenly disappears without a trace. Determined to find him, Mendy soon discovers a strength he never imagined ...""--Back cover",Disappeared persons;Orphans;Jewish boys;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0711,placeholder.jpg,The Purim book : the story of Esther,"Lepon, Shoshana;Prus, Dassie",2020,Judaica Press,"Brooklyn, NY",,,,,,illustrations,44 pages,28 cm,,,,,,,,,,Purim;Adaptations,Image;StillImage,image/jpeg,eng,item
hk0712,placeholder.jpg,Yosef and Yael and the mah nishtanah,"Krumbein, Shulamis",2020,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,20 pages,22 cm,,,,,,,,,,Passover;Seder,Image;StillImage,image/jpeg,eng,item
hk0713,placeholder.jpg,I daven every day,"Shulman, Naomi",2015,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,24 pages,28 cm,,,,,,,,,,Prayer;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0714,placeholder.jpg,Penina's plan,"Walfish, Miriam;Poulsom, Louise",2008,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,160 pages,23 cm,Jewish girls around the world,1,,,,,,,"Penina Mendes, a Jewish girl growing up in London, England, in the 1840s, meets two Jewish children whose lives are very different from her own luxurious one. Inspired by her family's tradition of chesed, Penina devises a plan to help them -- despite the many obstacles in her path.",Jewish way of life;Charity;Great Britain;19th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0715,placeholder.jpg,Penina's Doll Factory,"Walfish, Miriam;Magnus, Jessica",2009,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,160 pages,23 cm,Jewish girls around the world,2,,,,,,,"When Penina's friend Gittel gives her an unusual new doll, Penina discovers a wonderful opportunity to help others. Things dont work out exactly as planned, but Penina learns an important lesson about always trying her best.",Jewish way of life;Great Britain;19th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0716,placeholder.jpg,Penina's adventure at sea,"Walfish, Miriam;Magnus, Jessica",2010,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,157 pages,23 cm,Jewish girls around the world,,,,,,,,Trouble begins as Penina and her sister travel to New York aboard a beautiful steam-powered ship. A thief is on board! Canhe be caught before the entire voyage is ruined?,Jewish girls;Jewish way of life;Great Britain;19th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0717,placeholder.jpg,Penina's lost and found,"Walfish, Miriam",2011,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,174 pages,23 cm,Jewish girls around the world,,Penina Mendes,4,,,,,,Jewish girls;Jewish way of life;Great Britain;19th century;Fiction,Image;StillImage,image/jpeg,eng,item
hk0718,placeholder.jpg,Stop for Shabbos : a counting book,"Klein, Yehudis;Simon, Mira",2021,Judaica Press,"Brooklyn, NY",,,,,,illustrations,16 pages,22 cm,,,,,,,,,,Counting;Sabbath;Shopping;Study and teaching;Fiction,Image;StillImage,image/jpeg,eng,item
hk0719,placeholder.jpg,Pinch of pepper and other stories,"Lazewnik, Libby",2017,Judaica Press,"Brooklyn, NY",,,,,,,272 pages,23 cm,,,,,,,,,"26 short stories, including: A girl who's always bored learns there's such a thing as too much pepper in your pot ; a boy who discovers that his lookalike friend holds the key to unlocking an old secret ; a big, black umbrella that frees a girl from her constant worries ; a boy who solves a 70-year-old mystery when he opens a forgotten siddur.",Short stories,Image;StillImage,image/jpeg,eng,item
hk0720,placeholder.jpg,Sanctuary : the long road to peace,"Klein, Yonah;Yarhi, G'aki",2022,Lechaim Productions,"Brooklyn, NY",,,,,,color illustrations,49 pages,35 cm,,,,,,,,,""" The Crusader era was a dangerousand frightful time for the Jewishpeople. Entire communities wereuprooted by raging armies of peasants andwarriors, often without warning or sense.During these turbulent times, a smallcommunity of Yidden seeks a home foritself, far from persecution and danger.With nothing but their wits and a strongdose of siyata diShmaya to protect them,the group contends with bandits, crusaders,wild wolves, and more as they search for aplace of peace; a place where Jews can liveand serve Hashem without fear - a placeof Sanctuary."" -- Judaica Plaza website.","First Crusades, 1096-1099;Persecutions;Jewish religious education;Jewish communities;Europe;11th century;Religious comics;Historical fiction;Graphic novels",Image;StillImage,image/jpeg,eng,item
hk0721,placeholder.jpg,The money sham,"Aikhler, E (Ester);Weinberg, Deena",2022,Lechaim Productions,"Brooklyn, NY",,,,,,color illustrations,77 pages,35 cm,,,,,,,,,"""When Eliyahu Reicher first posted his siyum invitation on the class bulletin board, he had no idea that this would launch him into a long, winding, turbulent journey that would completely upend and change anything he ever knew. Two million dollars disappear into thin air; a class turns its back on a previous favorite; a mysterious shady character refuses to pick up calls; an old, dusty book with an ancient treasure; and a hurricane that rips through cities and blossoming hopes ...In this tale of suspense and intrigue, Eliyahu and his family learn about integrity and loyalty - and the only thing that brings true, lasting happiness."" -- Judaica Place website.",Ultra-Orthodox Jews;Jewish ethics;Jewish families;Translations;Action and adventure;Graphic novels,Image;StillImage,image/jpeg,eng,item
hk0722,placeholder.jpg,Eli & Sruly and the flashes in the dark,"Irenstein, Hadas;Heler, Moti;Ben Shachar, Chaya Sara",2023,Lechaim Productions,"Brooklyn, NY",,,,,,chiefly color illustrations,59 pages,34 cm,Eli & Sruly,,,,,,,,"""The mastermind behind the major terrorist attacks in Argentina strikes again. An evil plot threatens the Jewish community in South Africa. Eli, Sruly and Roby the Robot find themselves thrust into a hair-raising adventure that takes them through the jungle and into the sea on the other side of the world. Blinding lights, roaring forest animals, a tiny boat rocking on the waves, and a mysterious signaling flashlight... Who is Rabbi Ben David? Will the children manage to save the Jewish community in time? It's a battle of minds, and time's running out!""--judaicaplace.com.",Robots;Espionage;Argentina;South Africa;Action and adventure;Graphic novels,Image;StillImage,image/jpeg,eng,item
hk0723,placeholder.jpg,The Tehran children,"Stahl, Leah;Frankel, Devorah",2023,Mekor Press,"Brooklyn, NY",,,,,,chiefly color illustrations,56 pages,35 cm,,,,,,,,,"""In the aftermath of World War II, a group of brave Jewish children embarks on a remarkable journey. As part of a special rescue mission called the Kindertransport, they are brought to a displaced persons camp in Tehran, on the way to Eretz Yisrael. There, the secular camp leaders try to force them away from Torah and mitzvos, but they refuse to give up. With courage and prayer, they stand up for their beliefs and fight to preserve their cherished tradition. Join these courageous young heroes as they navigate a world filled with uncertainty. Discover the power of faith, friendship, and resilience as they fight to keep their Torah values alive. Experience their inspiring story of hope, as they show that even in the darkest times, the light of emunah can guide us toward a brighter future. This captivating tale will take you back to an important crossroads of Jewish history, when the strength of Jewish children shaped the destiny of our nation"" -- Amazon.com.","Jewish children in the Holocaust;Holocaust, Jewish (1939-1945);Iran;Tehran (Iran);Jewish refugees;Poland;Historical fiction;Graphic novels",Image;StillImage,image/jpeg,eng,item
hk0724,placeholder.jpg,The Nathan club,"Kodesh, N;Zikhl, Esti;Ben Shachar, Chaya Sara",2023,Mekor Press,"Brooklyn, NY",,,,,,illustrations,107 pages,33 cm,,,,,,,,,,Israel;Russia;Refuseniks;Children;Societies and clubs;Helping behavior,Image;StillImage,image/jpeg,eng,item
hk0725,placeholder.jpg,Speedy the spider's secret mission,"Cohen, K;Genut, Esther",2023,Mekor Press,"Brooklyn, NY",Menucha Publishers,,,,,illustrations,24 pages,23 cm,,,,,,,,,,"Spiders;Caves;God (Judaism);Fiction;David, King of Israel",Image;StillImage,image/jpeg,eng,item
hk0726,placeholder.jpg,Dark tapestry,"Pearlman, Ruthie",2021,Mekor Press,"Brooklyn, NY",Menucha Publishers,,,,,,366 pages,24 cm,Yael Reed,,,,,,,,"""At 7:00 a.m. it was a beautiful London morning. At 7:50 a.m. the nightmare began. Eight-year-old Josh, Don and Ilana Hardman's only child, was gone. In this chilling thriller of kidnapping and revenge, Jewish traditions are lost and refound. The author weaves a tapestry of unforgettable characters: We meet Colin, a hard-bitten London cop who has carefully eradicated all traces of his past as an Orthodox Jew; Leora, a forthright criminologist and baalas teshuvah; and Ilana, a fragile yet indomitable mother. And lurking in the shadows, the terrifying figure of a man crazed by memories forgotten by all but him."" -- Publisher's description.",Police;England;London (England);Kidnapping;Fiction;Thrillers,Image;StillImage,image/jpeg,eng,item
hk0727,adler_memydog_keymystery.jpg,"Me, my dog, and the key mystery","Adler, David A;Ackerman, Dena",2018,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,color illustrations,30 pages,23 cm,My dog,2,,,"Originally published as My dog and the key mystery, 1982.",,,My dog -- The missing key -- I held onto my dog -- The messy kitchen -- My dog solves the mystery.,,Readers (Publications);Dogs;Fiction,Image;StillImage,image/jpeg,eng,item
hk0728,adler_memydog_birthdaymystery.jpg,"Me, my dog, and the birthday mystery","Adler, David A;Ackerman, Dena",2018,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,color illustrations,30 pages,22 cm,My dog,3,,,Originally published as My dog and the birthday mystery in1987.,,,My dog -- The missing bicycle -- My dog is smart -- My dog solves the mystery.,"With the help of her dog, Jenny spends her birthday investigating a bicycle theft and wondering why no one seems to remember it is a special day for her.",Readers (Publications);Dogs;Birthdays;Lost and found possessions;Fiction,Image;StillImage,image/jpeg,eng,item
hk0729,placeholder.jpg,"Surprise, surprise with Jelly Eli Z.","Adler, David A;Ackerman, Dena",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,64 pages,22 cm,,,,,"""4""--Spine",,,,,Jewish boys;United States;Boys;Families;Friendship;Jewish families;Family life;Birthdays;Parties;Fiction,Image;StillImage,image/jpeg,eng,item
hk0730,placeholder.jpg,Shorty Schwartz,"Schiffman, Dishy;Lucas, Margeaux",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,color illustrations,32 pages,22 cm,,,,,,,,,,Stature (tall and short);Fiction,Image;StillImage,image/jpeg,eng,item
hk0731,goldish_civilwar.jpg,Jewish life in America during the civil war,"Goldish, Meish",2021,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,47 pages,26 cm,The way it was,,,,,,,,,United States;Civil War 1861-1865;History,Image;StillImage,image/jpeg,eng,item
hk0732,goldish_lowereastside.jpg,Jewish life in America on the Lower East Side,"Goldish, Meish",2021,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,47 pages,26 cm,The way it was,,,,,,,,,United States;Lower East Side (New York City);History,Image;StillImage,image/jpeg,eng,item
hk0733,placeholder.jpg,No day without Torah : the story of Rabbi Meir Shapiro and the daf yomi,"Sokol, Leah;Ackerman, Dena",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,29 pages,22 cm,Young readers biography,,,,,,,,,"Talmud Torah;Education;Biography;Shapira, Meir, 1887-1933",Image;StillImage,image/jpeg,eng,item
hk0734,placeholder.jpg,Sarah builds a school : the life of Sarah Schenirer,"Koffsky, Ann D;Ginsparg, Leslie;Ackerman, Dena",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,30 pages,22 cm,Young readers biography,,,,,,,,"An introduction to Sarah Schenirer, and how she started Jewish schools for girls.","Jewish educators;Poland;Krakow (Poland);Jewish religious education of girls;Biography;Shnirer, Sarah, 1883-1935",Image;StillImage,image/jpeg,eng,item
hk0735,placeholder.jpg,Mister Lister,"Pransky, Judith;Zee, Sarah",2018,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,black and white illustrations,63 pages,23 cm,,,,,,,,,"""Reuven tries to do things right, but it's tough when, at home, more milk spills on the table than lands in the cereal bowl. At school, his handshake is too tight, he stands too close to the other boys, and his teacher can't read his handwriting. At recess he can't run fast enough to join the races. But Reuven does have a special talent. Can it help him overcome his rough start and reach his dream of finally fitting in?""--Back cover",Orthodox Judaism;United States;Jewish day schools;Interpersonal relations;Self-esteem;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0736,placeholder.jpg,Faraway summer,"Hurwitz, Johanna",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,,157 pages,,,,,,,,,,,Farm life;Vermont;Families;City and town life;Jewish girls;United States;Friendship;New York State;Fiction,Image;StillImage,image/jpeg,eng,item
hk0737,placeholder.jpg,Mister Lister strikes again,"Pransky, Judith;Zee, Sarah",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,black and white illustrations,109 pages,22 cm,,,,,,,,,"""Reuven doesn't like changes, but since his mother has to work late, he's forced to join the after-school program in his yeshivah's library. That's where he meets the librarian known as Mr. Bookman. Will Mr. Bookman be able to help Reuven overcome his uneasiness? Join Reuven in Mister Lister Strikes Again as he discovers hidden talents and tackles new challenges ... with unexpected results.""--Back cover",Orthodox Judaism;United States;Jewish day schools;Interpersonal relations;Judaism;Self-esteem;Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0738,adler_yellowdaffodil.jpg,One yellow daffodil : a Hanukkah story,"Adler, David A;Katz, Avi",2019,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,color illustrations,32 pages,24 cm,,,,,,,,,During Hanukkah two children help a Holocaust survivor to once again embrace his religious traditions.,Hanukkah;Holocaust survivors;Florists;United States;Fiction,Image;StillImage,image/jpeg,eng,item
hk0739,placeholder.jpg,Rafi Rooster,"Schiffman, Dishy;Lucas, Margeaux",2022,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,color illustrations,31 pages,22 cm,,,,,,,,,,Roosters;Responsibility;Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0740,placeholder.jpg,The man at the wall : the story of Rav Meir Schuster,"Ungar, Carol;Ackerman, Dena",2023,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,28 pages,22 cm,Young readers biography,,,,,,,,,"Jewish outreach;Rabbis;Jerusalem (Israel);Return to Orthodox Judaism;Middle East;Schuster, Meir, Rabbi, 1943-2014",Image;StillImage,image/jpeg,eng,item
hk0741,placeholder.jpg,Mister Lister and the two-way gift,"Pransky, Judith;Zee, Sarah",2023,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,black and white illustrations,151 pages,22 cm,,,,,,,,,"""'I'm Reuven,' he said to his new teacher. He remembered not to shake hands too hard. As he turned away, Reuven tripped on his dangling shoelace. A few of the boys snickered. Reuven wishes everything could stay the same, but there are a lot of changes in his life right now. His best friend, David, has moved away, and Reuven needs to get used to his new fourth-grade teacher. But the most upsetting change is the arrival of a new boy, Yehuda Taprik. Reuven hopes Yehuda will be a replacement for David, and that they'll discover they're related. But events don't go according to his plans. It will take Zaidy's fascinating story about the two-way gift to help Reuven understand his confusing feelings"" -- Amazon.com.",Orthodox Judaism;United States;Jewish day schools;Interpersonal relations;Judaism;Friendship;Haredi and religious literature;Fiction,Image;StillImage,image/jpeg,eng,item
hk0742,placeholder.jpg,Funny Sunny comes to town,"Bauman, Tehillah;Simon, Mira",2023,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,40 pages,25 cm,,,,,,,,,,Puns and punning;Fiction,Image;StillImage,image/jpeg,eng,item
hk0743,placeholder.jpg,Popcorn with the President and Jelly Eli Z.,"Adler, David A;Ackerman, Dena",2021,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,69 pages,22 cm,Jelly Eli Z,,,,,,,,,United States;Boys;Presidents;Stores;Retail;Jewish boys;Jewish families;Fiction,Image;StillImage,image/jpeg,eng,item
hk0744,adler_memydog_homeworkmystery.jpg,"Me, my dog, and the homework mystery","Adler, David A;Ackerman, Dena",2018,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,30 pages,22 cm,My dog,1,,,"Originally published as My dog and the green sock mystery, 1986.",,,My dog -- The homework mystery -- A good detective looks everywhere -- Maybe your dog is smart.,,Readers (Publications);Dogs;Fiction,Image;StillImage,image/jpeg,eng,item
hk0745,placeholder.jpg,Teacher troubles for Jelly Eli Z.,"Adler, David A;Ackerman, Dena",2018,Menucha Publishers,"Brooklyn, NY",Menucha Classroom Solutions,,,,,illustrations,60 pages,22 cm,Jelly Eli Z,1,,,,,,,"""Is Jelly Eli in trouble? Eli Zipperbaum, better known as Jelly Eli Z., is a great kid, but he doesn't always pay attention in class. He would rather daydream and eat his jelly beans while Mr. Moscowitz discusses how many children George Washington had. But then something strange happens that does grab Jelly Eli's full attention. It starts with his teacher staring at him, during class. Then the principal peeks through the window and stares at him, too. Is Jelly Eli in some kind of trouble? But why? Meet Jelly Eli and his friends in the first book in this engaging new series by David A. Adler""-- Publisher's website.",Teacher-student relationships;Jewish students;Jewish boys;Schools;Fiction,Image;StillImage,image/jpeg,eng,item
