keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0029,placeholder.jpg,Eli learns abut feelings : getting mad makes you feel bad,"Gold, R;Liebler, Nechama;Lepon, Shoshana",2020,Kinder Shpiel,"Brooklyn, NY",,,,,,color illustrations,16 pages,24 cm,Eli learns to deal with feelings,5,,,Laminated pages.,,,,,Jealousy;Jewish ethics;Conduct of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0030,placeholder.jpg,Ship-shape for Shabbos : a shapes book,"Blau, Sara;Lewczuk, Lidia E",2015,Judaica Press,"Brooklyn, NY",Judaica Press Kids,,,,,color illustrations,18 pages,26 cm,Skills for school,,,,On board pages.,,,,"""So many shapes to discover, so little time left until Shabbos! As we clean up the house for Shabbos, can you learn all the different shapes?"" -- back cover",Shapes;Sabbath;Picture books;Board books,Image;StillImage,image/jpeg,eng,item
hk0031,placeholder.jpg,My first look and find Shabbos,"Spira, Yaffa;Lewczuk, Lidia E",2016,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,12 pages,26 cm,,,,,On board pages.,,,,"""Simple picture clues and gentle rhymes take your toddler or preschooler on a delightful journey through Shabbos!""--Back cover.",Sabbath;Jewish way of life;Judaism;Haredi and religious literature;Board books;Poetry;Picture books;Puzzles and games,Image;StillImage,image/jpeg,eng,item
hk0032,placeholder.jpg,Moishy many mitzvos,"Blau, Sara;Lewczuk, Lidia E",2018,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,16 pages,22 cm,Judaica Press Kids,,,,Board book.,,,,"""Now Moishy's big enough to do mitzvos! Now that Moishy is 3 years old, he's ready to start doing mitzvos! He's so excited to give tzedakah, do kibud av v'eim, make brachos, and do many other mitzvos! Join Moishy as he learns to do mitzvos happily!""--back cover.",Jewish ethics;Jewish way of life;Commandments (Judaism);Conduct of life;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0033,placeholder.jpg,Silent alarm,"Millman, M C",2005,Judaica Press,"Brooklyn, NY",,,,,,,221 pages,24 cm,,,,,,,,,"In a quiet town in rural Pennsylvania, there are fires, including that of the old shul. Was it set by the envious neighbor, or a local slimy insurance adjuster? Can the rabbi restore order among his congregation's members?",Rabbis;United States;Synagogues;Arson;Jewish way of life;Jewish religious fiction;Fiction;Detective and mystery,Image;StillImage,image/jpeg,eng,item
hk0034,placeholder.jpg,My first brachos board book,"Edelman, B C",2011,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,1 volume,22 cm,,,,,On board pages.,,,,,Benediction;Judaism;Food;Jewish religious education,Image;StillImage,image/jpeg,eng,item
hk0035,placeholder.jpg,Dovy runs,"Weinstock, Malky;Pileggi, Steve;Stone, Reuven A;Szpilzinger, Menachem",2015,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,25 cm + 1 audio disc,LITE Boy,1,,,"Includes a CD with ""lyrics and audio production Reuven A. Stone;vocalist, Menachem Szpilzinger.""",,,,,Orthodox Judaism;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0036,placeholder.jpg,Dovy learns to share,"Weinstock, Malky;Pileggi, Steve",2017,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,1 volume,28 cm + 1 audio disc,LITE Boy,,,,"Includes a CD with ""Song and audio produced by Rochel Leah Reifer.""",,,,,Sharing;Friendship;Jewish ethics;Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0037,placeholder.jpg,Dovy's Sukkos discovery,"Weinstock, Malky;Pileggi, Steve",2018,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,1 volume,28 cm + 1 audio disc,LITE Boy,,,,"Includes a CD with ""Song and audio produced by Rochel Leah Reifer.""",,,,"""It's almost Sukkos, and Dovy is so excited! But he wonders, ""Why don't we just eat inside our house on Sukkos? Why do we need a sukkah?"" Join Dovy in his Sukkos discovery -- that Hashem is always watching over us and protecting us, wherever we are!""--back cover.",Sukkot;Sukkah;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0038,placeholder.jpg,Dovy and the hachnasas sefer Torah,"Weinstock, Malky;Pileggi, Steve",2019,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,1 volume,28 cm + 1 audio disc,LITE Boy,,,,"Includes a CD with ""Song and audio produced by Rochel Leah Reifer-Lamm.""",,,,,Orthodox Judaism;United States;Torah scrolls;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
