objectid,objecttype,title,lc,nli,viaf,wiki,filename,creator,date,publisher,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,display_template
hk0541,item,Dual secrets : a novel,,,,,placeholder.jpg,"Mermelstein, Yael",2014,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,,356 pages,24 cm,,,,,,,,,"A.J. and Devora have the perfect friendship, based on shared experiences, laughter, and just plain liking each other and that years ago, A.J.'s husband saved the life of Devora's son. Now, as their children reach marriageable ages, those bonds are beginning to fray.",Ultra-Orthodox Jews;Jewish women;Friendship;United States;Jewish families;Female friendship;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,item
hk0542,item,The triple lot,,,,,placeholder.jpg,"Got, Elie;Gold, D (Dovid)",2021,Shai Publishing,"Brooklyn, NY",,,,,,color illustrations,78 pages,,,,,,,,,,,Jewish children;Boys;Jewish religious education;Action and adventure;Graphic novels,Image;StillImage,image/jpeg,item
hk0543,item,Rabbi Riddle,,,,,placeholder.jpg,"Estrin, Leibel;Sears, Dovid",2000,Shazak Unlimited,"Brooklyn, NY",,,,,,color illustrations,1 volumes,24 cm,,,,,"""Based upon the popular ""Rabbi Riddle"" study sheets, published for the National Committee for the Furtherance of Jewish Education ... to teach Torah values to Jewish children of all backgrounds""--Page 4 of cover.",,,Vol. 1. Rabbi Riddle speaks!,,Jewish way of life;Jewish ethics,Image;StillImage,image/jpeg,item
hk0544,item,The talking coins,,,,,kunda_talkingcoins.jpg,"Kunda, Shmuel;Shapiro, Boris",2018,Judaica Press,"Brooklyn, NY",,,Shmuel Kunda Producations,,,color illustrations,50 pages,31 cm,Kunda Classics collection,,,,"Laminated pages.;""Based on the popular story CD!""--Cover",,,,"""Who can save Berish? When Berish the butcher is thrown in prison for a crime he did not commit, all the Jews in Prague try their best to save him. But no one knows what to do. No one, that is, except young Yehuda Lowey, the son of the Chief Rabbi of Prague. Yehuda has a great idea to save Berish. Now all he has to do is get someone to listen to him ...""--back cover.","Coins;Judaism;Persecutions;Czech Republic;Prague (Czech Republic);Jewish folk literature;Haredi and religious literature;Fiction;Religious fiction;Judah Loew ben Bezalel, approximately 1525-1609",Image;StillImage,image/jpeg,item
hk0545,item,The story of Rebbetzin Henny Machlis : her amazing home and family : a biography for young readers,,,,,placeholder.jpg,"Zakon, Nachman;Zakon, Miriam Stark",2018,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,illustrations,171 pages,24 cm,Artscroll Youth series,,,,"""Based on Emunah with love and chicken soup."";Minimal Level Cataloging Plus. DLC",,,,,"Rabbis' spouses;Ultra-Orthodox Jews;Conduct of life;Biography;Machlis, Henny",Image;StillImage,image/jpeg,item
hk0546,item,Second chances : a novel,,,,,placeholder.jpg,"Mermelstein, Yael",2010,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,,287 pages,24 cm,,,,,,,,,"Everyone needs a second chance: Ellie Ribetsky: At twenty-nine she is a mass of contradictions; a health-food caterer who loves brownies; an ""older single"" who longs to be married yet can hardly remember the name of her latest shidduch date. Will she get a second chance at building the life she longs for? Esther and Mordechai Ribetsky: Ellie's parents face an accusation [embezzlement] that will change their lives forever. Will they ever be able to go back to their picture-perfect life? Fayna Needleman: Ellie's beloved ""Babi"" must rebuild her own life while waiting for her granddaughter to begin building hers. Can an aging woman with a broken heart have a second chance at happiness? Sarah Silver: Imprisoned for a heinous crime, it's hard to believe there can be a second chance for Sarah. Can faith and love break through a prison's walls?-- Jacket",Jewish women;United States;Single women;Jewish single people;Jewish families;Women prisoners;Mate selection;Suspicion;Remorse;Jewish way of life;Orthodox Jews;Fiction,Image;StillImage,image/jpeg,item
hk0547,item,Sefer Tehilim = Illustrated family Tehillim,,,,,placeholder.jpg,"Shollar, Leah;Muchnik, Michoel",2011,The World Wide Tehillim Club,"Brooklyn, NY",,,Hachai Publishing,,1st edition,color illustrations,426 pages,26 cm,,,,,"""The Raskin Edition.""--Cover.",,,,,Commentaries,Image;StillImage,image/jpeg,item
hk0548,item,"Shemittah, what it's all about",,,,,placeholder.jpg,"Gevirtz, Eliezer;Fruchter, Yaakov",1993,Torah Umesorah Publications,"Brooklyn, NY",,,,,,illustrations,56 pages,26 cm,,,,,,,,,,Sabbatical year (Judaism),Image;StillImage,image/jpeg,item
hk0549,item,Dare to dream,,,,,placeholder.jpg,"Gebber, Leah",2009,Zahav Press,"Brooklyn, NY",,,,,,,232 pages,,Abrams Family Legacy,2,,,,,,,,Jewish women;Fiction,Image;StillImage,image/jpeg,item
hk0550,item,The disappearing dowry,,,,,placeholder.jpg,"Astaire, Libi",2009,Zahav Press,"Brooklyn, NY",,,,,,,212 pages,18 cm,Ezra Melamed,,,,,,,,"It is the summer of 1810. The Lyon family of London is eagerly preparing for the wedding of their eldest daughter Hannah. But then, Mr. Samuel Lyon, a member of London's Jewish elite, suffers a crushing blow. In the blink of an eye, Mr. Lyon's entire fortune is lost. But help soon arrives from an unexpected source: Mr. Ezra Melamed, wealthy widower and benefactor of London's Jewish community. With only a key, a button, and a few cryptic words from a Chassidic Rebbe to guide him, Mr. Melamed goes beyond London's fashionable streets to search for clues in the darkest places.",England;London (England);Jewish families;Orthodox Judaism;Manners and customs;Orthodox Jews;19th century;Fiction;Historical fiction,Image;StillImage,image/jpeg,item
hk0551,item,The ruby spy ring,,,,,placeholder.jpg,"Astaire, Libi",2011,Zahav Press,"Brooklyn, NY",,,,,,,245 pages,17 cm,Ezra Melamed,,,,,,,,,England;Orthodox Judaism;Fiction,Image;StillImage,image/jpeg,item
hk0552,item,If you give a frog a piece of matzah,,,,,placeholder.jpg,"Tal, Rachel Shifra;Truitt, Carrie",2013,Zahava Publishers,"Brooklyn, NY",,,,,,color illustrations,1 volume,23 cm,,,,,,,,,"""Come join Mr. Frog and his newfound friend on a whimsical Seder adventure, and find out what happens if you give a frog a piece of matzah . . .""--Page 4 of cover",Passover;Seder;Frogs;Fiction,Image;StillImage,image/jpeg,item
hk0553,item,It's called kibud av va'eim! : a story about honoring parents,,,,,placeholder.jpg,"Rosenfeld, Dina Herman;Ebert, Len",2014,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,18 pages,26 cm,,,,,,,,,,Respect;Parent and child;Ten commandments;Parents,Image;StillImage,image/jpeg,item
hk0554,item,"Much, much better",,,,,placeholder.jpg,"Kosofsky, Chaim;Schiffman, Jessica",2006,Hachai Publishing,"Brooklyn, NY",,,,,Softcover edition,color illustrations,1 volume,22 x 26 cm,PJ Library,,,,"""Adapted from Stories of Elijah the prophet by Yisroel Y. Klapholtz, vol. 1, p. 159. Mishor Publishing, 1990""--Title page verso;First edition (hardcover) published in 2006.",,,,"When kind-hearted Shlomo and his wife Miriam share their sabbath meal with the prophet Elijah, disguised as an old man, the grateful visitor rewards the couple with a special gift.",Families;Generosity;Picture books;Fiction;Legends;Elijah (Biblical prophet),Image;StillImage,image/jpeg,item
hk0555,item,"Shabbos, Shabbos, I love you!",,,,,placeholder.jpg,"Lieberman, Naomi",2013,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,22 pages,26 cm,,,,,,,,,,Sabbath;Jewish girls;Jewish religious fiction;Picture books;Fiction,Image;StillImage,image/jpeg,item
hk0556,item,From my heart : a child talks to Hashem,,,,,placeholder.jpg,"Perman, Esty;Abramskaya, Anna",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,,,,,"""Throughout the day, a child turns to Hashem to tell Him whatever's on her mind -- words of praise, all her requests, and lots of thank you's -- straight from the heart!""-- Provided by publisher.",Prayer;Judaism;Fiction,Image;StillImage,image/jpeg,item
hk0557,item,Fit for a princess,,,,,placeholder.jpg,"Rotman, Risa;Leff, Tova",2008,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,36 pages,26 cm,,,,,Laminated pages.,,,,"A busy princess who can't decide what to wear gets advice from every quarter, but in the end it is up to her to select something that will make her father proud.",Princesses;Clothing and dress;Modesty;Jewish way of life;Fiction,Image;StillImage,image/jpeg,item
hk0558,item,The hidden artist,,,,,placeholder.jpg,"Rubabshi, Leah Chana;Saroff, Phyllis",2014,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,23 pages,26 cm,,,,,Story in rhyme.,,,,,Nature stories;God (Judaism);Fiction,Image;StillImage,image/jpeg,item
hk0559,item,Let's go to the park,,,,,placeholder.jpg,"Benenfeld, Rikki",2015,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,Toddler experience,,,,Laminated pages.,,,,"A rhyming story about a young Jewish brother and sister who put safety rules into practice and do lots of good deeds, or mitzvos, while enjoying a trip to the park.",Siblings;Parks and playgrounds;Safety;Conduct of life;Fiction,Image;StillImage,image/jpeg,item
hk0560,item,Glad to be me,,,,,placeholder.jpg,"Blau, Sara;Ebert, Len",2016,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,"""Young children learn by grouping items into categories... it's a vital skill that helps them make sense of the world around them. As you read this charming, action-filled story, your child can bounce like a ball, sway like a tree, and flap like a bird. But people don't fit into any of those groups. We transcend them all, and have the wonderful ability to elevate the world with our mitzvos. Full of fun and meaning, Glad to be Me! will make even the very youngest children appreciate the unique role and responsibility we share! [...] Bonus activities included""-- Amazon.",Jewish families;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk0561,item,My very own letter,,,,,placeholder.jpg,"Hecht, Zalmy;Judowitz, Chani",2016,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,27 cm,,,,,,,,,"""A young brother and sister are so glad to have something that unites and inspires children all over the world""-- Back cover.",Hebrew language;Alphabet;Customs and practices;Siblings;Torah scrolls;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk0562,item,I go to Eretz Yisroel,,,,,bennefeld_gotoeretzyisroel.jpg,"Benenfeld, Rikki",2017,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,26 cm,Toddler experience,,,,Laminated pages.,,,,A rhyming story about a young Jewish brother and sister who take a plane trip to Israel.,Siblings;Air travel;Airports;Airplanes;Israel;Fiction;Stories in rhyme;Haredi and religious literature,Image;StillImage,image/jpeg,item
hk0563,item,It only takes a minute,,,,,placeholder.jpg,"Goetz, Bracha;Bolton, Bill 1968-",2017,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,26 cm,,,,,,,,,The main character realizes that it only takes a minute to make a big difference.,Conduct of life;Customs and practices;Kindness;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk0564,item,We can find a way : a Hachnosas Orchim inclusion story,,,,,placeholder.jpg,"Rosenfeld, Dina Herman;Wummer, Amy",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,29 cm,,,,,,,,,,Hospitality;Judaism;Jewish families;Social integration;Birthdays;Parties;Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk0565,item,My sometimes feelings,,,,,placeholder.jpg,"Rubabshi, Leah Chana;Wummer, Amy",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,29 cm,,,,,Laminated pages.,,,,A rhyming story in which a young Jewish boy describes the way he feels in various situations and how he copes with his feelings. Includes a note to parents and teachers.,Emotions;Judaism;Conduct of life;Haredi and religious literature;Stories in rhyme,Image;StillImage,image/jpeg,item
hk0566,item,"Yes, I can! : a book about learning from everyone",,,,,placeholder.jpg,"Kviat, Hindy;Lefkowitz, Chaya Leah;Epstein, Len",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,A brother and sister who want to be many different things discover that they are like many professionals in their community when they act they way they should.,Siblings;Etiquette;Children;Knowledge and learning;Professions;Human services;Community life;Occupations;Behavior;Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk0567,item,The creation book,,,,,placeholder.jpg,"Gansburg, Chani;Ackerman, Dena",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,24 pages,29 cm,,,,,Laminated pages.,,,,"""Crisp writing and extraordinary illustration combine in this unique picture book about the Creation of the world. The author's rhyming couplets detail the creations that Hashem brought into being on each passing day""-- {dollar}c Publisher's website.",Creation,Image;StillImage,image/jpeg,item
hk0568,item,Here comes the Mitzvah Team : a story about zrizus,,,,,placeholder.jpg,"Lieberman, Naomi;Leff, Tova",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,29 cm,,,,,Laminated pages.,,,,Lively siblings rush with great speed (zrizus) to perform good deeds (mitzvos).,Time management;Jewish ethics;Jewish way of life;Conduct of life;United States;Fiction,Image;StillImage,image/jpeg,item
hk0569,item,Oops! I'm sorry,,,,,placeholder.jpg,"Blau, Sara;Taylor, Erin 1984-",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,Laminated pages.,,,,"""When Gavi makes a mistake one day, he only says 'Oops!' With his older brother and sister showing the way, Gavi learns three important steps he can take to show he's truly sorry.""-- Page 4 of cover",Apologizing;Siblings;Jewish way of life;Jewish ethics;Fiction,Image;StillImage,image/jpeg,item
hk0570,item,Dear tree : a Tu B'Shvat wish,,,,,placeholder.jpg,"Weber, Doba Rivka;Saroff, Phyllis",2020,Hachai Publishing,"Brooklyn, NY",,,,,Paperback edition,color illustrations,1 volume,26 cm,,,,,,,,,"Every tree needs strong roots; every tree needs lots of sunlight and rain. In honor of Tu B'Shvat, a little boy has so many good wishes for his beloved, favorite tree!",Trees;Tu bi-Shevat;Picture books;Fiction,Image;StillImage,image/jpeg,item
hk0571,item,I have a Jewish name!,,,,,placeholder.jpg,"Vorst, Rochel Groner;Ackerman, Dena",2020,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,26 cm,,,,,,,,,,Names;Personal names;Judaism;Hebrew,Image;StillImage,image/jpeg,item
