objectid,objecttype,title,lc,nli,viaf,wiki,filename,creator,date,publisher,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,display_template
hk1001,item,Groundscrapers : the story below,,,,,placeholder.jpg,"Sternfeld, Nathan;Bikhman, David;David, Brocha",2018,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,262 pages,25 cm,Rebbe Mendel,10,,,,Gordei Tehomot (5776),,,"""It's another Rebbe Mendel adventure, that's what! Dig in and get the scoop on the renovations, interrogations, investigations, and infiltrations - from the Ramat Gan police to Alfred Grossgelt's strange investment in the Underground Neighborhoods Project. What does the manager of the Float-Fly Hotel in Teveria have to do with Fritz Lutz from Austria? Why everyone is terrified of lawyer Klapholtz's pyramid scheme? And how does all this lead to an explosive finish? Full of lessons and values, Groundscrapers gives you the ""hole"" lowdown on the latest hilarious escapade of Rebbe Mendel!""--Back cover",Jewish teachers;Israel;Rabbis;Translations;Haredi and religious literature;Action and adventure;Fiction;Wit and humor,Image;StillImage,image/jpeg,item
hk1002,item,I want a friend! 2 : stories for learning essential social skills,,,,,placeholder.jpg,"Berzon, Devorah;David, Brocha",2019,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,74 pages,31 cm,,,,,,Ani Rotzeh Chaver 2,,,,Social skills;Emotions;Conduct of life;Fiction,Image;StillImage,image/jpeg,item
hk1003,item,Yossi & Nussi's trip to the zoo : learning good middos from animals through Pirkei Avos,,,,,placeholder.jpg,"Farkas, Rachel;Nadell, Yocheved",2019,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,36 pages,28 cm,,,,,,,,,,Animals;Judaism;Jewish ethics;Conduct of life;Fiction,Image;StillImage,image/jpeg,item
hk1004,item,In the spider's web : a suspenseful saga of Nazi intrigue and Divine providence across two continents and two generations,,,,,placeholder.jpg,"Ohayon, Avraham;Cohen, Dov-Ber",2019,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,138 pages,31 cm,,,,,"Graphic novelization of (expression): Eliav Hayim 1936-2023 Ben kure ha-""akavish"" English",,,,,"Identity;Orthodox Judaism;Israel;Holocaust, Jewish (1939-1945);Holocaust survivors;Nazis;Brazil;Adaptations;Religious comics;Thrillers;Graphic novels",Image;StillImage,image/jpeg,item
hk1005,item,The case of the Rashi scroll : and other tales,,,,,placeholder.jpg,"Sternfeld, Nathan;Bikhman, David;David, Brocha;Frankel, Tziporah",2020,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,252 pages,25 cm,Rebbe Mendel,12,,,,,,,,Jewish way of life;Jewish religious education;Fiction;Short stories,Image;StillImage,image/jpeg,item
hk1006,item,Nekudah adventures with Ziggawat,,,,,placeholder.jpg,"Weinberger, Ahuva;Gershbaum, C;Cenizal, I",2020,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,86 pages,31 cm,,,,,,,,,,Hebrew language;Vocalization;Study and teaching;Graphic novels;Educational fiction,Image;StillImage,image/jpeg,item
hk1007,item,The story of Rabbi Chanina ben Dosa and the lost chickens,,,,,placeholder.jpg,"Shapiro, Simcha",2022,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,36 pages,26 cm,Stories from Chazal,,,,Laminated pages.,,,,,"Lost and found possessions;Jewish legends;Aggada;Legends;Hanina ben Dosa, active 1st century",Image;StillImage,image/jpeg,item
hk1008,item,Rufus the rooster,,,,,placeholder.jpg,"Fridman, A (Leah);Katz, Tova",2002,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,43 pages,29 cm,,,,,,,,,,Roosters;Fiction,Image;StillImage,image/jpeg,item
hk1009,item,"Let's say amen! : stories for children on the amazing power of ""just one word""",,,,,placeholder.jpg,"Ansh, Tamar;Katz, Tova",2006,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,77 pages,28 cm,,,,,,,,,,Prayer;Judaism;Amen,Image;StillImage,image/jpeg,item
hk1010,item,One special prayer : a young boy and his friends experience the Days of Awe in the time of the Second Temple : a historical tale detailing the Kohen gadol's preparation in the week leading up to Yom Kippur and the complete Yom Kippur avodah,,,,,strauss_onespecialprayer.jpg,"Shtraus, Yaakov Meir",2007,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations;plans,302 pages,25 cm,Naftali in the Beis Hamikdash,,,,,,Includes bibliographical references.,,,Yom Kippur;Temple of Jerusalem;Jewish priests;Fiction,Image;StillImage,image/jpeg,item
hk1011,item,I honor Shabbos : [a children's guide to appreciating Shabbos],,,,,placeholder.jpg,"Greenwald, Zev;Goldschmidt, Dovid",2008,Feldheim Publishers,"Jerusalem, Israel",,,,,,chiefly color illustrations,47 pages,28 cm,,,,,,,,,,Sabbath;Haredi and religious literature,Image;StillImage,image/jpeg,item
hk1012,item,"Dovid melech Yisrael : a spellbinding illustrated story : based on Tanach, Gemara, and Midrashim",,,,,placeholder.jpg,"Halamish, Mordekhai;Bikhman, David;David, Brocha",2013,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,80 pages,31 cm,,,,,,,,,,"Jewish religious education;Israel;David, King of Israel",Image;StillImage,image/jpeg,item
hk1013,item,"The big win : and other tales from Rebbe Mendel, world's greatest teacher",,,,,placeholder.jpg,"Sternfeld, Nathan;David, Brocha",2015,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,172 pages,25 cm,Rebbe Mendel,8,,,,,,,,Jewish day schools;Jewish religious education;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,item
hk1014,item,The king who came back,,,,,placeholder.jpg,"BenJacob, Abraham",1984,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,47 pages,25 cm,,,,,,,,,,Kings and rulers;Good and evil;Truthfulness and falsehood;Fiction,Image;StillImage,image/jpeg,item
hk1015,item,"Rebbe Mendel presents A home on the hill : secret codes, jet-setting birds, a zany professor, and one boy's amazing adventures in Eretz Israel",,,,,placeholder.jpg,"Sternfeld, Nathan;Bikhman, David;Bloom, Sandy;Nataf, Deena",2006,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,170 pages,25 cm,Rebbe Mendel,4,,,,,Includes bibliographical references.,,,Rabbis;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk1016,item,Rebbe Mendel -- in a class by himself,,,,,placeholder.jpg,"Sternfeld, Nathan",2009,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,208 pages,25 cm,Rebbe Mendel,5,,,"""Some of the stories that appear in this book originally appeared in Hebrew in Rebbe Mendel's book, Esrim Tze'adim.""",,,,,Jewish day schools;Jewish religious education;Jewish way of life;Teachers;Rabbis;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk1017,item,Ezra's revenge,,,,,placeholder.jpg,"Ohayon, Avraham",2019,Feldheim Publishers,"Jerusalem, Israel",,,,,,chiefly color illustrations,95 pages,31 cm,,,,,"""A story of suspense, danger, and return.""",,,,"""Sa'id, a fanatical terrorist, has a burning desire to avenge his father's death at the hands of the Israelis. Trained by the Hezbollah's top men, he is sent on a mission to hijack a plane and crash it into an enormous tefillah gathering in Eretz Yisrael. The shocking disclosure on board the plane of a long-held secret changes the entire plan ... Hidden bunkers, Lebanese rooftops, railroad tunnels, international borders - suspense and drama pulsate with every twist in the plot. Hang on for a daring, action-packed adventure, as you follow the dangerous road towards teshuvah- and the meaning of ... Ezra's Revenge.""--Amazon.com",Terrorism;Israel;Arab countries;Hijacking of aircraft;Revenge;Fiction;Action and adventure;Graphic novels;Thrillers,Image;StillImage,image/jpeg,item
hk1018,item,Three special days : a young boy and his family celebrate Pesach during the time of the Second Temple : a historical tale detailing the bringing of the Korban Pesach,,,,,strauss_threespecialdays.jpg,"Shtraus, Yaakov Meir;Goldberger, Menachem;Plotkin, Michael;Manela, Penina",2020,Feldheim Publishers,"Jerusalem, Israel",,,,,Paperback edition,illustrations,"xiv, 265 pages",25 cm,Naftali in the Beis Hamikdash,,,,"Young readers are invited to join Naftali and his family to experience a true Pesach celebration at the time of the second Beis HaMikdash. Catch a glimpse of the Sanhedrin in session, walk through the marketplace to buy wine, matzos, and marror, and learn the laws of the offerings brought in the temple, and more. This fascinating book is packed full of information, imparted in a way that young readers will appreciate and grasp. Includes maps, diagrams, and charming illustrations.--Amazon.com.",,Includes bibliographical references.,,,Translations;Passover;Sacrifice;Haredi and religious literature;Historical fiction,Image;StillImage,image/jpeg,item
hk1019,item,The story of Yosef mokir Shabbos,,,,,placeholder.jpg,"Shapiro, Simcha;PIturah, Alexander",2020,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,36 pages,26 cm,Stories from Chazal,,,,,,,,,Jewish way of life;Jewish religious education;Israel;Sabbath;Jewish legends;Aggada;Fiction,Image;StillImage,image/jpeg,item
hk1020,item,Our new special baby,,,,,placeholder.jpg,"Rosen, Chaya;Braverman, Rivkie",2013,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,42 pages,28 cm,,,,,,,,,"Our New Special Baby is the touching and heartwarming story of three young children's acceptance of their new baby brother, born with Down syndrome. Sensitively written and accompanied by beautiful, realistic illustrations, Racheli's story helps kids -- both siblings and friends -- understand the chromosomal disorder in a positive light and with a refreshing perspective.",Down syndrome;Judaism;Jewish families;Siblings;Children with disabilities;Haredi and religious literature,Image;StillImage,image/jpeg,item
hk1021,item,What do peyos do? : a Jewish boy wonders about his first haircut,,,,,placeholder.jpg,"Wolman, Tzipora",2018,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,24 pages,23 cm,,,,,,,,,"""What Do Peyos Do? Can they wash a dish, Or swish like a fish? Look like a clown, Or hang upside down? Enter the mind of a three-year-old boy as he delights in the fantasies of his own imagination and ponders the question: What Do Peyos Do? With engaging rhymes and beautiful illustrations, this heartwarming book entertains as it shares a child's excitement in his first steps toward Jewish maturity"" -- back cover.",Upsheren;Haircutting;Judaism;Customs and practices;Fiction,Image;StillImage,image/jpeg,item
hk1022,item,I love Torah : [a children's guide to the appreciation of Torah],,,,,placeholder.jpg,"Greenwald, Zev;Goldschmidt, Dovid",2005,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,47 pages,28 cm,,,,,,,,,"An attractive and informative introduction to the important mitzva of limud Torah, with charming illustrarions and easy-to-understand text.",Jewish religious education;Israel;Jewish ethics;Aggada;Talmud Torah;Education,Image;StillImage,image/jpeg,item
hk1023,item,HaMalach HaGoel and other bedtime stories : a collection of imaginative stories for Jewish children,,,,,placeholder.jpg,"Shulem, Yehudit;Hass, Estie;Gross, Sherie",2010,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,60 pages,28 cm,,,,,,,,,,United States;Orthodox Judaism;Fiction,Image;StillImage,image/jpeg,item
hk1024,item,"Good morning, boker tov! : exploring the morning berachos with Boruch and Bracha",,,,,placeholder.jpg,"Mintzberg, Devora;Sternberg, Margalit;Gross, Sherie",2012,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,41 pages,,,,,,,,,,,Prayer;Judaism;Jewish religious education,Image;StillImage,image/jpeg,item
hk1025,item,Out of Sight,,,,,placeholder.jpg,"Rosman, Bracha",2012,Feldheim Publishers,"Jerusalem, Israel",,,,,,,"v, 316 pages",24 cm,,,,,,,,,,Blind;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk1026,item,Little sister : a novel,,,,,placeholder.jpg,"Tenenvald, Ruti;Weinbach, Sheindel",2014,Feldheim Publishers,"Jerusalem, Israel",,,,,,,317 pages,24 cm,,,,,,,,,"After suffering the loss of his father three years earlier, young Harry Halperin is told of his mother's sudden passing by the rich and powerful Richard Thompson, who also informs him of his mother's dying request: that he and his wife Mary raise his four-year-old sister, Rachel. Refusing to believe that his mother would ever agree to have her child brought up as a gentile, Harry finally manages to flee with his sister from Wales and begins an arduous journey to their uncle Theo in France. But Rachel has become spoiled in the Thompsons' home and cannot appreciate her brother's sacrifices on her behalf. As the two innocent orphans fend for themselves, they are victims of hatred and exploitation- and are eventually rescued through the kindness of fellow Jews. Even so, Rachel cannot expunge her bitterness at having been wrested from the loving care of the Thompson home. When she ends up alone in an orphanage in Norwood, while her brother marries and leaves for Eretz Yisrael, the turmoil within her grows. Can Harry save his sister from her distrust, born of a difficult past?",Jewish orphans;Wales;Siblings;Translations;Jewish families;Eretz Yisrael;Israel;France;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,item
hk1027,item,Miraculous stories : amazing stories from Torah sources from the words of our sages,,,,,placeholder.jpg,"Schreiber, Elisheva;Pollack, Gadi;Markovich, Evgeny;Avital, Ami",2003,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,13 pages,"13 cm + cardboard puppet theater, 4 puppets, 2 scenery cards and 1 crown",Miniature puppet theater,,,,,,,V.1 Nachum ish gam zu.,,Jewish legends,Image;StillImage,image/jpeg,item
hk1028,item,Following the electricity trail with Wizzy and Dizzy,,,,,placeholder.jpg,"Or, Y;Golan-Martin, Orit;Steinberg, Bennie",2006,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,61 pages,34 cm,Science Comics for Torah Kids,,,,,,,,,Jewish religious education;Israel;Electricity,Image;StillImage,image/jpeg,item
hk1029,item,"Humility : learning Middos through stories of tzaddikim, an interactive book of rhymes",,,,,placeholder.jpg,"Dor, Beruryah;Heler, Moti;Rosen, M",2008,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,1 volume,23 cm,Let's learn middos!,5,,,,,,,Relates anecdotes of the excellent character of famous Jewish men and women. Illustrations feature lift-up flaps.,Humility;Judaism;Jewish ethics;Jewish religious education,Image;StillImage,image/jpeg,item
hk1030,item,Let's go to shul! : a children's guide to the laws of the beis haknesses,,,,,placeholder.jpg,"Kornblau, Yitzchok;Aizenbakh, Yaakov;Baifus, Ruth",2009,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,64 pages,35 cm,,,,,,,,,,Synagogues;Jewish religious education;Israel,Image;StillImage,image/jpeg,item
hk1031,item,Dual Dilemmas,,,,,placeholder.jpg,"Ben Shachar, Chaya Sara",2012,Feldheim Publishers,"Jerusalem, Israel",,,,,,,262 pages,24 cm,,,,,,,,,"Thirteen-year-old sisters Chevy and Daniela Dembowitz couldn't be more different. While Chevy is studious, reserved and a homebody, Daniela is popular, outgoing and always spending time out; and while Chevy is busy winning awards, Daniela is busy winning friends. The seventh grade election for G.O. president brings with it a new twist in their relationship. When Daniela does something that Chevy finds hard to forgive, Daniela is forced to reveal her long-kept secret to her sister. Will Chevy stand by her twin?",Ultra-Orthodox Jews;United States;Learning disabilities;Twins;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,item
hk1032,item,What do you think it was all about? : an interactive book about judging favorably,,,,,placeholder.jpg,"Genish, Ahuva;Peleg, Tirtsah",2012,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,42 pages,32 cm,,,,,,,,,,Jewish ethics;Orthodox Jews,Image;StillImage,image/jpeg,item
hk1033,item,When the war ends,,,,,placeholder.jpg,"Tenenvald, Ruti",2014,Feldheim Publishers,"Jerusalem, Israel",,,,,,,217 pages,24 cm,,,,,,,,,,"Holocaust, Jewish (1939-1945);Jewish girls;England;London (England);World War II, 1939-1945;Jewish religious education;Fiction",Image;StillImage,image/jpeg,item
hk1034,item,"Noach and the flood : with illustrations based on the Torah, Midrash and commentaries",,,,,placeholder.jpg,"Chalamish, Mordechai;Berzon, Devorah;David, Brocha",2015,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,80 pages,31 cm,,,,,,Noach VeDor HaMabul,Includes sources in Hebrew (pages 65-80).,,,Deluge;Jewish religious education;Translations;Bible stories;Floods;Graphic novels;Haredi and religious literature;Noah (Biblical figure),Image;StillImage,image/jpeg,item
hk1035,item,What should you do now? : helping kids find solutions!,,,,,placeholder.jpg,"Walder, Chaim;Berzon, Devorah",2015,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,89 pages,30 cm,,,,,,,,What should you do if you're lost? -- What should you do if your ball rolls into the street? -- What should you do if the birthday party isn't for you? -- What should you do if you'd rather eat something else? -- What should you do if somebody is playing with your present? -- What should you do if a stranger knocks on the door? -- What should you do if someone insults you? -- What should you do if you can't fall asleep? -- What should you do if you feel you're drowning? -- What should you do if you feel like you have no friends?,"""What Should You Do Now? tells stories of children facing ten common dilemmas, and guides toward a correct solution in a way that kids can enjoy. Reading about other children in familiar situations helps kids realize that their own challenges are normal and have been navigated successfully by others -- and talking things out beforehand will enable them to handle these and similar problems on their own""--back cover.",Jewish religious education;Israel;Children;Conduct of life;Haredi and religious literature,Image;StillImage,image/jpeg,item
hk1036,item,The sparkling gift,,,,,rozen_sparklinggift.jpg,"Rozen, Abigail;Cain, Lisa",2016,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,26 pages,,,,,,,,,,"""The Sparkling Gift takes you to a place of wonder - the Midbar, where Hashem's boundless love for his children expressed itself in so very many ways -- and tells the story of the special food sent there from Heaven. Based on the words of Chazal, each detail of the miraculous mon comes alive, radiating the warmth of Hakadosh Barch Hu's tender care, and awakening in the reader a deep sense of gratitude. Children and adults alike will delight in the breathtaking illustrations and musical rhyme and prose""--Back cover.",Manna;The Exodus (Biblical);Curiosities and wonders;Bible stories,Image;StillImage,image/jpeg,item
hk1037,item,Tishrei tales : uplifting stories from Rosh Hashanah through Simchas Torah,,,,,placeholder.jpg,"Krohn, Genendel;Katz, Tova",2016,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,56 pages,28 cm,,,,,,,,,,High holidays;Rosh Hashanah;Yom Kippur;Sukkot;Simhat Torah;Jewish religious education;Israel,Image;StillImage,image/jpeg,item
hk1038,item,Wonders of the gedolim : three amazing stories of wisdom and courage,,,,,placeholder.jpg,"Yarhi, G'aki;David, Brocha",2016,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,46 pages,28 cm,,,,,,,,The duke's downfall -- The sword in the shul -- The mysterious poison.,"The duke's downfall: Rashi predicts the crusader leader will return with but two men and two horses, and is miraculously vindicated -- The sword in the shul: The rabbi's presence paralyzes the arm of the bandit leader invading the Prague ghetto -- The mysterious poison. A cunning rival doctor challenges Maimonides to a deadly contest in front of the sultan to see who can create the stronger poison-antidote, and Maimonides must outthink his opponent.","Rabbis;Legends;Jewish legends;Graphic novels;Haredi and religious literature;Rashi, 1040-1105;Maimonides, Moses, 1135-1204",Image;StillImage,image/jpeg,item
hk1039,item,Torah : our treasure,,,,,placeholder.jpg,"Goldzand, Etti;Tidhar, Avrami;Ravad, Batsheva;Gross, Sherie",2009,Feldheim Publishers,"Jerusalem, Israel",,,,,,color illustrations,20 pages,31 cm,Show 'n tell window books,,,,,,,,"How is a Sefer Torah made? Where does parchment come from? This step-by-step book, told in rhyme and ""illustrated"" with real-life clay figures and creations, includes a unique window feature that shows various objects involved in creating a Sefer Torah, for children to view close-up.",Torah scrolls;Jewish scribes,Image;StillImage,image/jpeg,item
hk1040,item,Wonders of the Baal Shem Tov and his students : amazing stories from the lives of the chassidic gedolim,,,,,placeholder.jpg,"Yarhi, G'aki",2015,Feldheim Publishers,"Jerusalem, Israel",,,,,,illustrations,47 pages,,,,,,,,,,"""The Ba'al Shem Tov taught the importance of serving Hashem with joy and enthusiasm, and loving every Jew with a full heart. The Wonders of the Ba'al Shem Tov and His Students makes his teachings come alive, with beautiful illustrations depicting the life of the Baal Shem Tov and stories about some of his main followers: the Maggid of Mezritch, the Baal Hatanya, Rabbi Elimelech of Lizhensk, Rabbi Levi Yitzchak of Berditchev, Rabbi Chaim of Sanz and more. Children of all ages will be fascintated by these lessons of faith, purity, charity, and ahavas Yisrael, highlighted by the holy example of these chassidic masters. ""--back cover.","Hasidism;Graphic novels;Haredi and religious literature;Baal Shem Tov, approximately 1700-1760",Image;StillImage,image/jpeg,item
hk1041,item,Stranger in the woods,,,,,placeholder.jpg,"Frid, Leah",2006,Hamodia Publishing,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",,,202 pages,24 cm,,,,,"Translation of: ha-Yeled me-hurshat ha-oranim.;""A novel for young readers""--Preface;Originally published in serialized form in the magazine [English] Hamodia under the title Breakthrough.",,,,"Two twelve-year-old boys become friends and find new insight into themselves at a guesthouse in a wood: one recuperating and sickly, the other, from the woods, strange, mysterious but fascinating. The other guests include a secretive social worker-lawyer, a young Rav who works in a prison, and a troubled young man who resorts to underhanded activities. Why are they all there, and what ties them together?",Jewish youth;Friendship;Hotels;Jewish way of life;Jewish religious fiction;Haredi and religious literature;Fiction,Image;StillImage,image/jpeg,item
hk1042,item,Criminal copy,,,,,placeholder.jpg,"Jakubowicz, M",2013,Hamodia Publishing,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",,,"vii, 266 pages",24 cm,,,,,,,,,,Orthodox Jews;Fiction,Image;StillImage,image/jpeg,item
hk1043,item,Mrs. Honig's cakes,,,,,placeholder.jpg,"Frankel, Pessie;Perkal, Yocheved Leah;Katz, Tova",2004,Hamodia Publishing,"Jerusalem, Israel",,,,,,illustrations,volumes,25 cm,,,,,Volume 7 titled: Good yom tov Mrs. Honig.,,,"1. Mrs. Honig's cakes -- 2. Yom tov stories for children -- 3. Fancies & fantasies for children -- 4. Summer stories -- 5. At home with Mrs. Honig -- 7. Good yom tov Mrs. Honig : stories around the Jewish year / illustrations, Rivka Engel. -- 8. Tea time with Mrs. Honig / illustrations, Rivka Engel.",,Jewish religious education,Image;StillImage,image/jpeg,item
hk1044,item,Your Torah is my delight : Rav Yosef Elyashiv : inspiring stories about a giant in Torah and posek hador,,,,,placeholder.jpg,"Ohayon, Avraham;Hen, Avishai;Mesch, Tova",2014,Hodaya Ben David Publishers,"Jerusalem, Israel",,,,,,illustrations,58 pages,32 cm,,,,,"""This book contains twenty-five incredible stories, some of which were never told before, about the leader of the generation and posek hador, rabbeinu hagadol Maran Rabbi Yosef Shalom Elyashiv ztvk""l. These stories are accompanied by authentic, touching illustrations that bring each story to life.""",,,,,"Rabbis;Israel;Jewish religious education;Biography;Elyashiv, Yosef Shalom, 1910-2012",Image;StillImage,image/jpeg,item
hk1045,item,Don't tell! : a novel,,,,,placeholder.jpg,"Kisner, Sarah;Shapiro, Debbie;Kaplan, Shalom",2006,Jerusalem Publications,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",,,223 pages,23 cm,,,,,First serialized in the magazine Zarkor.--p. [6].;Translated from Hebrew.,,,,"A boy's father is arrested on charges of embezzlement, and it is the buzz of the neighborhood.",Shame;Embezzlement;Jewish religious fiction;Haredi and religious literature;Novels;Fiction,Image;StillImage,image/jpeg,item
hk1046,item,Family matters,,,,,placeholder.jpg,"Frid, Leah;Lavon, Yocheved",2008,Jerusalem Publications,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",,,368 pages,24 cm,,,,,,,,,,Orthodox Judaism;Jewish women;Jewish families;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk1047,item,"Rabbi Akiva : the story of his life in pictures and words, based on authentic Torah sources",,,,,placeholder.jpg,"Leon, Sarah;Golobchik, Ludmila;Rappaport, Aviva",2014,Jerusalem Publications,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",,illustrations,51 pages,,Comix,,,,,,,,,"Jewish religious education;Israel;Akiba ben Joseph, approximately 50-approximately 132",Image;StillImage,image/jpeg,item
hk1048,item,Truth on trial : a novel,,,,,placeholder.jpg,"Kisner, Sarah;Friedman, Devorah",2017,Jerusalem Publications,"Jerusalem, Israel",,,,,,,239 pages,24 cm,,,,,,Mishpacha B'Mivchan,,,"A musically talented sixteen-year-old girl's father, a lawyer, collapses in the courtroom; and a widowed rabbi struggles to support his children.",Jewish youth;Jewish families;Israel;Teenage girls;Rabbis;Life change events;Young adult fiction;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk1049,item,Class-ified information,,,,,placeholder.jpg,"Millman, M C",2003,Jerusalem Publications,"Jerusalem, Israel",,,,,,,volumes,22 cm,,,,,,,,1. Tziporah Taub -- 2. Suri Stern -- 3. Baila Horowitz -- 4. Mindy Heller. -- 6. Faigy Young -- 7. Naomi Lustig.,,Orthodox Jews;Jewish religious education of girls;Jewish girls;Fiction,Image;StillImage,image/jpeg,item
hk1050,item,"Rambam : the story of Rabbeinu Moshe ben Maimon, Maimonides",,,,,placeholder.jpg,"Avrech, Robert J (Robert Joel);Lazarus, Ashley;Mahr, Aryeh;Pekarovski, Svetlana;Solop, Vladimir;Surpin, Semyon;Steiner, Jonathan;Fedorov-Polonsky, Sofia;Wein, Berel",2008,Mahrwood Press,"Jerusalem, Israel",,,Feldheim Publishers,"Jerusalem ; Nanuet, New York",2nd edition,color illustrations,64 pages,24 cm,,,,,"""A Berel Wein -- Destiny publication""--Cover;[Based on videorecording: Rambam. Monsey, NY : Destiny Films, 2005, written and directed by Ashley Lazarus.].",,Includes bibliographical references.,,,"Rabbis;Egypt;Jewish scholars;Graphic novels;Biography;Maimonides, Moses, 1135-1204",Image;StillImage,image/jpeg,item
hk1051,item,Of heaven & earth : stories of the chassidic masters,,,,,placeholder.jpg,"Lazarus, Ashley;Mahr, Aryeh;Surpin, Semyon;Fedorov-Polonsky, Sofia",2008,Mahrwood Press,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",1st edition,chiefly color illustrations,56 pages,31 cm,,,,,"""In cooperation with Berel Wein and the Destiny Foundation""--Front endpaper;[Based on videorecording: Of heaven and earth. Monsey, NY : Destiny Films, 2000., written and directed by Ashley Lazarus.].",,,,"Eleven stories in comic book form of the Baal Shem Tov, the Maggid of Mezritch, Reb Levi Yitzchak of Berditchev, Reb Zusha, Reb Leib Sarah's, Reb Yechiel Michel of Zlotchov, Reb Elimelech of Lizhensk.","Hasidim;Legends;Zaddikim;Jewish legends;Graphic novels;Baal Shem Tov, approximately 1700-1760;Zusya, of Hanipoli, approximately 1719-1800;Dov Baer, of Mezhirech;Levi Isaac ben Meir, of Berdichev, 1740-1809;Aryeh Leib Sarahs, 1730-1791;Elimelech, of Lizhensk, 1717-1787;Jehiel Michael, of Zloczow, approximately 1731-1786",Image;StillImage,image/jpeg,item
hk1052,item,Mysteries of the Alef-beis,,,,,placeholder.jpg,"Dumas, Chava;Mahr, Aryeh;Bauer, Ariel;Fedorov-Polonsky, Sofia;TorahLab",2008,Mahrwood Press,"Jerusalem, Israel",,,Feldheim Publishers,"Nanuet, NY",1st Mahrwood edition,color illustrations,"54, 2 pages",31 cm,,,,,"""TorahLab""--Cover;""Based on the works of Chaim Kass ... Letters from Heaven""--T.p. verso and p. 3;""[Features] Mahrwood Press characters from ""Journeys.""--Page 3",,Includes bibliographical references (page 54).,,,Hebrew language;Alphabet;Trivia and miscellanea;Gematria;Graphic novels,Image;StillImage,image/jpeg,item
hk1053,item,Shmuel HaNagid,,,,,placeholder.jpg,"Mahr, Aryeh;Polls, Esteve;Ponsoda, Javiar",2005,Mahrwood Press,"Jerusalem, Israel",,,,,1st edition,chiefly color illustrations,55 pages,34 cm,,,,,,,,"Vol. 1. Nagdila, a tale of the golden age.",,"Spain;11th century;History;Graphic novels;Samuel, ha-Nagid, 993-1056",Image;StillImage,image/jpeg,item
hk1054,item,Rashi hakadosh : a light after the dark ages,,,,,placeholder.jpg,"Wein, Berel;Lazarus, Ashley;Cogan, Jesse;Mahr, Aryeh;Pekarovski, Svetlana",2007,Mahrwood Press,"Jerusalem, Israel",,,,,,color illustrations,64 pages,25 cm,,,,,Cartoons.,,,,,"Rabbis;France;Rashi, 1040-1105",Image;StillImage,image/jpeg,item
